model,model_type
meta-llama/Llama-3.1-8B-Instruct,vanilla
meta-llama/Llama-3.1-8B-Instruct,cot
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,reasoning
Qwen/Qwen2.5-14B-Instruct,vanilla
Qwen/Qwen2.5-14B-Instruct,cot
deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,reasoning
Qwen/Qwen2.5-32B-Instruct,vanilla
Qwen/Qwen2.5-32B-Instruct,cot
deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,reasoning
Qwen/QwQ-32B,reasoning
simplescaling/s1-32B,reasoning
simplescaling/s1.1-32B,reasoning
meta-llama/Llama-3.3-70B-Instruct,vanilla
meta-llama/Llama-3.3-70B-Instruct,cot
deepseek-ai/DeepSeek-R1-Distill-Llama-70B,reasoning
deepseek-ai/DeepSeek-V3,vanilla
deepseek-ai/DeepSeek-V3,cot
deepseek-ai/DeepSeek-R1,reasoning
