,doctor_appointment,job_interview,book_a_table,ask_about_vaccines,movie_ideas,restaurant_ideas,visit_social_worker,vacation_ideas
age,1,0,0,1,1,1,1,1
driver_licence_number,0,0,0,0,0,0,0,0
phone_number,1,1,1,1,0,0,1,0
social_security_number,0,0,0,0,0,0,0,0
allergies,1,1,1,1,0,1,0,1
average_exercise_hours_per_week,1,0,0,0,0,0,1,0
current_medications,1,0,0,1,0,0,1,0
current_mental_health_conditions,1,0,0,0,0,0,1,0
current_physical_health_conditions,1,0,0,1,0,0,0,0
disabilities,1,0,0,0,0,0,1,0
family_medical_history,1,0,0,0,0,0,1,0
diet_type,1,0,0,0,0,1,0,1
favorite_food,0,0,0,0,0,1,0,0
favorite_hobbies,0,0,0,0,1,0,0,1
pet_ownership,1,0,0,0,0,0,0,0
preferred_movie_genres,0,0,0,0,1,0,0,0
relationship_status,0,0,0,0,0,0,1,1
religious_beliefs,0,0,0,0,0,0,0,0
sexual_orientation,0,0,0,0,0,0,0,0
vacation_preferences,0,1,0,0,0,0,0,1
name,1,1,1,1,0,0,1,0
email,1,1,1,1,0,0,0,0
address,1,0,0,0,0,1,0,0
ethnicity,1,0,0,0,0,0,0,0
gender,1,0,0,0,0,0,0,0
smoker,1,0,0,1,0,0,0,0
